answerID,questionID,correctness,answerText,answerReason,imageFile,xposition,yposition,dropBoxHeightAdjustment,dropBoxWidthAdjustment,dropBoxColor
1,1,1,Internal-muscle contractions,"Muscle contraction, an internal force, is necessary here in order to throw the dart.",,,,,,
2,1,1,Friction-internal,"This is sort of correct: There is a certain amount of internal friction in the joints which move: shoulder, elbow, wrist, and fingers and thumb. (But generally, healthy joints are well lubricated, reducing friction to a minimum.) For the purpose of this course, we will ignore internal friction",,,,,,
3,1,1,External-gravity,"Gravity is acting on the upper extremity (requiring some muscle contraction to hold the arm steady- mostly deltoid) and on the dart itself, giving it weight, which influences how it is thrown.",,,,,,
4,1,0,Magnetism-external,There is no magnetism active here!,,,,,,
5,1,1,Friction-external,"This is sort of correct: There is a small amount of external friction as the arm moves through the air. For the purpose of this course, we will ignore air friction.",,,,,,
6,1,1,Resistance-external,"The dart in the hand offers a force of resistance because it has mass and therefore inertia, resisting movement. The more massive the dart, the harder it will have to be thrown in order to hit the target (Ringo).",,,,,,
7,2,1,Gravity,Gravity must be overcome in order to lift each body up into the truck,,,,,,
8,2,0,Friction,Friction is not a major external force to be overcome,,,,,,
9,2,0,Muscle contraction,Muscle contraction is not an external force to be overcome,,,,,,
13,3,1,electromagnetism,"Although gravity is pulling all objects (keys, watch, lighter, Ringo's ring, etc.) toward the center of the earth, at this moment the magnetism is stronger, and sets the objects in motion (including Ringo’s arm) until they meet an external resistance- the wall or the ceiling. The wall and ceiling push back against the objects with a reactive force just strong enough to balance the pull of the magnet. Therefore, the objects don't puncture through the barriers (much to the villains' dismay, since they want to recover Ringo's ring!).

The correct answer is magnetism. The pull of the electromagnet switched on by the villains is strong enough to overcome the attraction of gravity on Ringo's arm and cause it to move upward, over his head, until it meets the obstructing ceiling. The ceiling then pushes back against his hand with an equal and opposite reactive force (see the module on Newton's Laws of Motion), which prevents his hand from punching through the ceiling (much to the villains' dismay, since they want to get his ring).",,,,,,
14,3,1,magnetism,"Although gravity is pulling all objects (keys, watch, lighter, Ringo's ring, etc.) toward the center of the earth, at this moment the magnetism is stronger, and sets the objects in motion (including Ringo’s arm) until they meet an external resistance- the wall or the ceiling. The wall and ceiling push back against the objects with a reactive force just strong enough to balance the pull of the magnet. Therefore, the objects don't puncture through the barriers (much to the villains' dismay, since they want to recover Ringo's ring!).

The correct answer is magnetism. The pull of the electromagnet switched on by the villains is strong enough to overcome the attraction of gravity on Ringo's arm and cause it to move upward, over his head, until it meets the obstructing ceiling. The ceiling then pushes back against his hand with an equal and opposite reactive force (see the module on Newton's Laws of Motion), which prevents his hand from punching through the ceiling (much to the villains' dismay, since they want to get his ring).",,,,,,
